date,DW_SW,DW_LW,Air_Temp,SPFH,Pa,Precip,WS_u,WS_v,Albedo,LE_model,RH
2005-01-01,149.3125022,245.5250037,280.0208375,0.003533333,87579.16667,0.0,1.575000023,2.541666705,0.166163288,0.1407528021198436,0.5483656228536932
2005-01-02,60.30416757,298.7041711,279.6500042,0.0049375,87749.58333,5.700000085,0.754166678,3.254166715,0.166025161,4.473553390612162,0.7878509402838055
2005-01-03,75.8916678,329.5041716,281.6458375,0.006720833,87762.5,4.100000061,-0.087500001,5.650000084,0.165913099,12.548658927662292,0.9343472437011688
2005-01-04,79.86250119,306.6125046,280.2083375,0.005975,87185.0,8.800000131,2.48333337,8.612500128,0.165787052,33.881404492443494,0.9111944342520326
2005-01-05,149.1666689,257.9083372,276.6708375,0.004008333,87662.91667,1.300000019,3.895833391,4.029166727,0.167403051,34.76808008032481,0.7884333637245271
2005-01-06,141.0625021,218.7666699,274.7583374,0.002191667,87577.91667,0.0,1.687500025,0.21666667,0.167355841,14.844650110829395,0.4942737755949183
2005-01-07,150.0166689,227.0875034,275.7208374,0.002454167,87248.33333,0.0,1.900000028,2.395833369,0.166756772,18.873774397907184,0.5143251381355745
2005-01-08,154.279169,244.608337,280.8166709,0.003120833,87676.25,0.0,1.14583335,3.979166726,0.166041991,20.75030025462722,0.4588824235535662
2005-01-09,150.1750022,240.2250036,281.8333375,0.002979167,88084.58333,0.0,0.083333335,2.804166708,0.1655669,11.522599346825844,0.4103858508673302
2005-01-10,130.7416686,278.8791708,283.2041709,0.0025,87927.08333,0.0,1.300000019,0.583333342,0.165255841,8.91684659959636,0.3131359311851697
2005-01-11,119.7291685,269.812504,283.0583376,0.0044375,87421.66667,0.0,3.979166726,4.362500065,0.165030612,5.442512421146782,0.5581071961116177
2005-01-12,161.1791691,258.5125039,279.9625042,0.004475,86960.0,2.70000004,6.441666763,1.266666686,0.164852431,12.067949538386893,0.6924015788831539
2005-01-13,164.6916691,202.0041697,275.2458374,0.002820833,87788.33333,0.0,0.508333341,-2.354166702,0.164736557,4.391651691303374,0.615566306149752
2005-01-14,139.1333354,262.4958372,279.4000042,0.0018375,87905.41667,0.0,-2.708333374,0.704166677,0.164611147,7.533276144275597,0.2988887333281972
2005-01-15,164.8333358,231.6250035,281.8041709,0.0019,88240.83333,0.0,-1.862500028,0.47083334,0.1644851,5.073756498071891,0.2627169207515709
2005-01-16,164.6250025,218.0750032,280.5625042,0.001916667,88342.5,0.0,-4.166666729,0.312500005,0.164604739,3.667410652541757,0.2889965920378368
2005-01-17,164.0375024,231.5083368,281.4291709,0.002733333,88048.75,0.0,-2.087500031,2.170833366,0.164749713,2.624853793550672,0.3869447832191099
2005-01-18,164.0833358,241.1625036,282.4708375,0.003158333,88149.58333,0.0,-3.225000048,1.070833349,0.164866074,2.187098250219636,0.4168428726666858
2005-01-19,164.7166691,245.9291703,282.6125042,0.003716667,88218.75,0.0,-3.079166713,0.895833347,0.16499579,1.665260808052664,0.4862071283725449
2005-01-20,116.8333351,265.837504,282.3500042,0.003133333,87975.0,0.0,-1.36250002,1.98750003,0.165126141,1.2408705757055882,0.416136181820844
2005-01-21,131.1208353,322.3541715,283.5333376,0.006175,87752.08333,4.70000007,-0.287500004,2.325000035,0.165256489,14.032325573666322,0.7549188511243985
2005-01-22,160.1166691,277.8291708,280.2375042,0.005216667,87710.0,0.400000006,-2.079166698,2.416666703,0.165386841,7.894016841418071,0.7987207323688261
2005-01-23,163.3500024,260.3708372,282.4583375,0.004675,88035.0,0.0,-6.183333425,1.916666695,0.165517189,6.731513144895208,0.616738262770573
2005-01-24,163.8666691,295.4583377,283.3083376,0.005591667,88002.5,1.300000019,-1.162500017,4.045833394,0.16564754,10.010556977000412,0.6960579554544973
2005-01-25,162.7208358,256.6583372,281.3458375,0.00435,88052.91667,0.0,1.504166689,2.279166701,0.165777892,5.428147092641429,0.6193737414964195
2005-01-26,72.93333442,334.287505,283.6833376,0.006395833,87521.25,2.500000037,0.620833343,3.570833387,0.16590824,9.361585042912028,0.7720066651641581
2005-01-27,168.3583358,292.9875044,281.9583375,0.006504167,87485.0,2.300000034,3.170833381,3.775000056,0.166038592,15.530393934871489,0.8822843818663657
2005-01-28,177.4791693,237.1291702,280.0916708,0.004370833,87784.16667,0.0,2.775000041,-0.087500001,0.16616894,9.444208724686256,0.6765945083972392
2005-01-29,179.4166693,217.9625032,279.7500042,0.002825,87577.08333,0.0,2.287500034,1.954166696,0.166299291,8.10052425925553,0.4467610648289513
2005-01-30,169.4208359,244.608337,277.0750041,0.003629167,87368.33333,0.0,3.36250005,-1.062500016,0.166429639,4.368511268436063,0.6912387924587544
2005-01-31,181.0541694,239.3208369,277.5000041,0.003695833,87658.75,0.0,-2.133333365,-2.108333365,0.166559991,3.509138753716475,0.6852620319959262
2005-02-01,151.4125023,259.4958372,276.6208375,0.002879167,87586.25,0.0,-4.087500061,-0.325000005,0.166694157,2.703072806893294,0.5678578720530488
2005-02-02,153.0000023,239.9333369,277.2708375,0.003270833,87730.41667,0.0,-6.041666757,-0.512500008,0.16682069,1.6724402371487213,0.6169149612004485
2005-02-03,185.2125028,261.6333372,277.5500041,0.003033333,87898.33333,0.0,-9.358333473,1.766666693,0.166951042,1.6961218412390284,0.561965349596722
2005-02-04,93.32916806,284.5000042,278.2583375,0.003325,87898.75,3.400000051,-6.158333425,2.179166699,0.167129074,8.815667644131835,0.5859109085917904
2005-02-05,166.8750025,265.162504,277.9666708,0.004445833,87400.83333,0.70000001,-0.495833341,2.420833369,0.167928904,7.362465768488581,0.7951828165742054
2005-02-06,150.7375022,293.6625044,278.2833375,0.004495833,87353.33333,4.600000069,3.175000047,4.570833401,0.167733099,25.363973169666604,0.785925753607599
2005-02-07,174.7750026,276.4375041,280.7625042,0.005233333,87625.83333,0.0,2.104166698,5.366666747,0.167611678,15.846384950895455,0.7719401777416938
